Word_count.txt:
359 428 535 1617 2848
employ 6 6 27 33 8
equival 16 7 10 17 11
peopl 15 19 18 41 12
work 41 31 30 69 37
he 439 264 629 607 425
need 65 59 95 52 25
becaus 89 86 95 107 102
spend 34 10 18 9 35
drop 66 32 68 19 53
by 457 377 537 1108 651
least 21 34 16 64 27
50 70 26 18 113 127
pct 392 336 631 1337 969
sinc 51 63 105 87 64
world 100 91 66 121 79
price 584 332 110 342 191
fell 72 26 62 14 97
dure 47 66 47 39 84
half 31 18 31 28 155
1986 136 94 60 218 1459
decid 26 34 11 59 18
so 32 37 73 40 34
larg 28 33 61 28 48
number 25 35 10 74 45
pay 36 17 25 97 516
mainli 8 4 9 8 43
firm 48 11 54 368 68
receiv 15 56 13 216 71
full 5 11 22 33 189
valu 26 33 55 208 87
such 53 37 98 76 40
would 324 317 374 789 297
not 247 296 419 778 366
immedi 22 9 12 44 11
benefit 25 18 13 28 60
tax 127 18 54 24 450
also 167 127 203 495 351
want 31 30 62 67 13
deliv 7 12 0 7 0
outsid 20 9 9 21 11
system 23 32 180 226 138
financ 20 9 124 173 65
michael 3 3 3 15 13
wilson 3 5 4 7 2
now 63 57 106 128 63
review 22 10 21 70 12
plan 85 71 49 383 202
reform 7 7 13 6 12
propos 66 95 62 398 77
later 19 29 18 62 22
thi 205 301 389 247 300
spring 10 34 1 4 2
import 148 192 85 22 24
featur 1 7 2 2 1
decis 22 47 26 73 38
let 6 3 9 4 3
allow 59 36 35 66 43
investor 13 2 44 247 31
subsidi 4 85 9 1 1
rather 10 17 23 4 14
onli 59 72 77 81 47
particip 6 24 15 48 21
under 64 151 49 276 82
make 44 76 67 263 137
easier 1 3 4 2 0
attract 8 9 9 25 3
hi 43 30 59 150 30
depart 49 223 18 103 34
still 35 50 72 68 39
consid 21 38 44 134 19
whether 8 38 40 59 13
partnership 12 2 0 82 28
other 97 93 149 333 177
entiti 2 4 2 22 3
qualifi 8 1 0 4 34
bp 25 0 0 54 4
scottish 2 0 0 0 3
refineri 131 0 0 2 3
restart 3 0 1 0 0
week 146 193 172 133 56
british 26 18 39 70 42
co 61 13 20 559 480
grangemouth 6 0 0 0 0
scotland 3 0 0 0 0
shut 14 0 0 0 1
down 81 67 103 30 87
explos 12 4 2 1 2
fire 14 7 0 10 8
hydrocrack 11 0 0 0 0
march 103 94 118 253 553
22 13 10 39 23 144
be 379 523 462 1201 646
back 26 25 51 52 28
oper 84 39 68 336 1693
spokesman 70 42 49 206 50
resum 12 3 6 4 12
barrel 467 0 3 10 11
per 133 142 26 281 583
day 166 30 80 87 23
bpd 338 0 0 1 1
capac 44 4 1 13 22
as 333 261 428 632 411
overhaul 4 2 1 1 0
side 12 4 14 15 6
complex 10 3 3 9 7
which 199 173 232 680 381
began 13 13 21 31 13
end 86 66 79 168 557
januari 70 42 96 42 146
complet 27 15 9 433 60
befor 51 22 86 91 126
had 185 121 331 552 299
been 139 156 187 294 149
close 65 24 95 209 84
longer 9 4 21 13 20
origin 5 20 8 44 14
expect 111 112 227 266 541
due 47 46 56 72 157
lengthi 1 0 0 1 0
safeti 1 3 0 7 2
check 2 0 6 2 1
carri 21 7 11 19 24
out 62 51 88 76 33
prior 4 8 1 29 589
worker 18 5 2 22 9
wa 440 300 520 750 440
kill 10 3 1 0 0
caus 27 44 32 20 30
extens 11 7 1 22 4
damag 47 44 18 19 4
central 13 13 348 35 26
part 32 44 30 169 53
today 135 64 258 178 79
unit 98 56 80 633 252
sever 43 36 37 86 39
month 129 115 175 114 272
remaind 2 2 1 12 7
catalyt 2 0 0 0 0
cracker 2 0 0 0 0
undamag 2 0 0 0 0
inquiri 1 7 2 8 5
accid 5 2 0 0 6
happen 5 3 6 12 5
while 76 61 90 79 91
continu 69 50 81 148 172
earlier 54 53 71 125 184
incid 4 0 2 1 0
two 104 128 162 316 411
13 16 22 6 46 172
offici 174 217 244 130 29
defend 23 3 14 12 11
reserv 156 33 220 43 75
sale 51 133 51 612 1143
treasuri 12 4 206 12 2
secretari 35 47 61 29 0
jame 7 1 43 32 16
baker 7 1 131 79 2
offic 9 32 9 134 67
manag 21 21 54 356 109
budget 43 29 88 8 13
chief 10 2 22 85 61
miller 6 7 0 5 5
administr 46 87 26 22 14
sell 44 28 69 527 51
naval 8 0 0 0 0
respons 17 18 26 70 14
hostil 2 0 0 32 4
question 9 11 33 22 9
member 82 44 31 70 9
hous 46 62 94 42 24
appropri 6 9 30 17 4
committe 30 74 68 49 3
justifi 4 1 6 3 1
help 73 34 133 28 40
bring 30 12 40 22 12
fiscal 17 20 37 23 236
1988 17 21 15 24 75
deficit 16 4 146 7 9
get 28 31 19 89 18
busi 14 22 44 329 231
acknowleg 1 0 0 0 0
estim 79 153 84 57 129
proce 1 0 1 50 29
actual 7 13 7 5 5
loss 21 20 17 70 4069
revenu 63 7 1 94 219
may 68 148 89 210 414
up 188 133 169 284 233
higher 62 48 36 38 168
we 131 130 141 154 116
highest 8 7 4 3 5
bidder 4 0 6 29 0
if 99 131 173 219 83
take 45 45 120 198 79
ftc 2 0 0 12 1
urg 16 29 13 21 0
veto 2 0 0 0 0
georgia 3 0 0 4 16
gasolin 62 1 0 2 2
station 8 0 0 49 10
bill 9 103 211 18 4
trade 81 211 450 150 107
commiss 12 75 8 226 54
staff 5 8 8 22 20
ha 255 290 346 1254 356
governor 2 2 49 3 1
prohibit 4 3 1 8 2
refin 72 7 0 9 12
own 29 9 28 368 86
retail 2 0 3 46 41
legisl 10 26 8 3 3
prevent 7 11 23 19 2
market 160 279 838 296 207
use 55 77 54 110 55
predatori 2 0 0 1 0
monopolist 2 0 0 0 0
practic 3 7 6 11 5
against 56 73 225 82 170
franchis 1 0 0 16 4
dealer 3 20 362 50 8
but 255 220 416 350 280
fear 7 10 26 7 4
scheme 5 9 0 4 2
are 196 262 279 381 227
unfound 1 0 1 0 1
anticompetit 1 0 0 2 0
warn 19 5 15 5 2
forc 41 12 27 26 24
motorist 1 0 0 0 0
pacif 33 11 0 128 63
resourc 37 4 3 114 90
pri 3 0 0 0 1
instal 14 0 1 12 9
moor 5 0 0 9 1
inc 56 16 17 1391 1263
calm 4 1 9 0 0
catenari 1 0 0 0 0
anchor 1 0 3 0 9
leg 1 0 0 0 0
termin 18 11 0 85 20
off 90 19 28 74 50
southwest 5 2 0 25 10
coast 29 13 0 15 2
oahu 1 0 0 0 0
hawaiian 1 0 0 1 0
independ 10 2 7 53 10
transfer 8 2 4 43 16
crude 429 2 0 4 23
fuel 55 3 1 5 28
tanker 51 0 0 0 1
tank 3 1 0 2 0
farm 2 172 0 9 7
product 323 191 25 233 231
ship 81 70 2 23 23
export 159 442 105 10 27
chairman 19 19 33 212 120
robert 6 15 15 28 11
reed 1 0 0 28 0
permit 5 8 3 21 5
servic 25 20 22 224 144
most 39 61 56 38 39
kind 10 1 6 9 1
weather 7 79 3 0 5
reduc 37 73 63 61 121
turnaround 2 0 1 4 2
time 59 67 106 150 88
accomod 2 0 0 0 0
vessel 18 13 0 9 0
deadweight 1 0 0 0 0
ton 12 21 0 10 3
cargo 13 13 0 3 2
herrington 52 0 0 0 0
say 140 68 256 222 76
john 23 7 2 22 19
recommend 21 7 10 43 48
white 25 9 4 14 0
domest 79 32 86 15 58
given 14 15 70 51 52
produc 142 131 15 70 40
head 17 12 17 26 14
increas 139 112 77 152 445
depend 36 15 20 28 26
foreign 111 31 298 92 76
fill 11 1 0 1 4
rate 47 56 807 37 149
strateg 21 1 0 18 11
alway 2 6 5 5 6
advoc 5 2 2 5 0
greater 8 13 31 14 16
kept 8 3 5 1 1
budgetari 1 0 1 0 1
constraint 1 4 1 0 1
did 65 40 81 112 58
disclos 4 2 3 145 16
what 35 28 61 47 11
might 23 34 45 102 22
have 206 282 297 452 202
shown 8 2 3 3 4
interest 52 27 193 342 210
research 32 4 8 34 28
way 36 29 38 38 6
extract 6 0 1 2 0
uneconom 3 0 0 0 2
made 43 73 60 211 105
remark 6 4 37 3 3
conjunct 2 0 2 2 2
with 326 304 491 1116 501
releas 15 37 15 27 30
studi 56 41 10 50 8
impact 10 22 22 15 44
nation 85 59 232 161 89
secur 33 4 111 413 129
rais 120 25 42 149 157
matter 5 13 12 19 3
econom 50 37 199 32 20
polici 42 53 208 30 19
see 44 32 60 43 252
good 22 35 47 28 77
like 43 55 87 58 48
centuri 5 3 0 6 3
state 134 137 88 130 73
reli 6 5 6 1 2
sourc 69 119 107 86 10
consumpt 35 18 11 0 1
pose 4 3 4 0 2
seriou 5 11 8 12 5
threat 14 8 5 2 6
ice 5 0 0 5 1
unchang 14 21 34 6 35
soviet 18 257 2 5 0
port 40 29 0 5 2
ventspil 3 0 0 0 0
condit 23 25 34 154 27
baltic 2 6 0 3 0
compact 1 0 0 2 2
drift 2 0 1 0 0
15 24 37 45 79 384
30 33 47 34 134 301
cm 1 0 0 0 3
thick 3 0 0 0 0
latest 16 19 28 11 24
finnish 2 0 0 0 0
board 11 58 41 427 200
navig 7 0 0 1 2
icebreak 1 0 0 0 0
assist 18 16 114 10 1
reach 19 41 34 78 31
harbour 2 1 0 2 1
normal 6 40 13 9 12
steel 9 0 4 37 47
without 12 15 18 39 30
special 5 19 21 92 45
reinforc 1 2 8 1 1
gave 18 17 17 29 14
no 112 100 118 237 94
detail 19 32 13 72 25
major 42 83 172 145 99
klaipeda 1 0 0 0 0
mexican 6 0 0 1 2
qtr 4 0 0 1 1629
seen 28 27 35 11 16
averag 72 48 62 31 40
mexico 25 7 1 3 3
quarter 53 8 31 53 865
accord 62 58 149 61 21
preliminari 6 9 3 22 13
figur 41 81 43 9 141
press 21 7 19 38 14
petroleo 16 0 0 0 0
mexicano 5 0 0 0 0
pemex 12 0 0 0 0
direct 10 9 28 24 28
comparison 3 7 0 0 13
rise 96 45 176 18 152
420 2 0 0 1 3
better 17 15 25 25 52
prospect 26 23 25 17 26
second 39 11 18 45 131
rel 8 7 24 7 12
favour 10 8 17 11 2
februari 114 58 113 52 100
diamond 15 0 0 11 9
shamrock 14 0 0 14 8
dia 4 0 0 3 1
post 80 13 4 27 55
all 70 70 54 312 103
grade 44 8 0 1 1
effect 61 30 62 47 115
yesterday 49 35 97 104 29
west 49 24 145 68 41
intermedi 20 6 0 1 4
wti 25 0 0 0 0
benchmark 18 0 1 0 0
bbl 38 0 0 0 0
join 4 4 17 21 3
sun 14 0 0 22 17
coastal 6 2 1 23 1
citgo 10 0 0 0 0
murphi 4 0 0 0 1
ecuador 146 2 0 0 1
adopt 6 4 15 13 13
auster 6 0 0 0 0
measur 43 30 79 12 17
quak 15 0 0 0 0
opec 351 0 1 0 0
conserv 6 46 9 4 11
paralyz 1 0 0 0 0
strong 22 15 34 22 86
earthquak 35 0 0 0 2
mine 23 0 3 113 57
javier 7 0 0 0 0
espinosa 9 0 0 0 0
televis 12 0 7 48 16
countri 128 113 161 32 27
cut 70 61 172 45 93
ministri 42 27 57 30 7
statement 64 22 50 192 109
indefinit 8 1 0 3 2
suspens 8 1 5 0 13
declar 8 0 4 11 208
majeur 4 0 0 0 0
deputi 17 13 9 3 2
fernando 11 0 0 1 0
santo 22 0 0 14 4
alvit 19 0 0 0 0
interview 26 9 23 12 8
possibl 32 40 39 134 46
repair 29 1 0 3 0
main 34 25 41 20 12
pipelin 85 0 0 9 9
link 13 7 16 15 4
amazon 5 0 0 0 0
basin 17 2 0 5 5
field 104 29 3 15 14
ocean 7 3 0 1 2
thursday 5 7 15 8 2
regist 4 7 1 11 20
six 32 24 114 93 412
mercal 5 0 0 0 0
scale 7 5 4 10 4
centr 1 1 10 7 11
near 35 15 28 14 18
reventador 2 0 0 0 0
volcano 3 0 0 0 0
90 1 14 7 23 37
km 21 0 0 2 4
mile 25 1 0 5 16
east 41 14 6 16 20
quito 5 0 0 0 0
recent 49 59 97 96 63
pump 20 1 0 12 1
ban 7 6 0 2 2
aviat 1 0 0 34 9
airlin 1 0 1 113 35
intern 60 36 118 321 187
rout 1 4 1 6 3
avail 26 37 7 47 33
line 32 16 25 87 65
petrol 5 0 0 1 2
weekend 6 6 12 7 2
holiday 2 0 2 10 4
limit 22 39 41 68 43
weekday 1 0 0 0 0
communiqu 9 0 2 0 1
indonesian 14 3 3 1 2
less 32 42 30 37 33
indonesia 42 12 9 1 0
last 261 226 243 267 354
calendar 2 12 3 2 15
pertamina 7 0 0 0 2
short 11 11 22 17 11
slash 1 3 1 0 1
expenditur 26 4 5 0 22
crash 3 0 2 0 0
jumardi 2 0 0 0 0
jukardi 3 0 0 0 0
coordin 4 1 21 1 0
contractor 4 0 0 7 2
110 1 1 3 17 2
well 114 20 39 68 85
431 1 0 0 0 0
108 1 1 0 0 1
330 1 0 0 1 1
brazil 55 21 13 17 57
buy 29 84 114 605 43
kuwaiti 27 0 3 0 0
kuwait 60 0 10 1 0
petrobra 47 0 0 0 0
unlik 6 12 30 11 8
saudi 177 9 37 0 21
arabia 86 9 19 0 2
impos 9 10 6 2 1
cancel 14 5 0 8 9
purchas 27 78 70 398 50
refus 12 5 16 13 1
accept 28 53 17 92 15
credit 23 65 69 89 259
guarante 19 44 5 16 5
bank 85 5 1346 598 574
eventu 10 1 5 9 4
lift 30 7 10 14 10
reconfirm 1 0 0 0 0
current 71 94 164 161 260
consum 19 20 16 27 24
creditor 5 0 5 17 7
seek 12 16 17 219 29
swift 2 0 3 0 2
rescu 2 0 1 0 1
japan 19 48 381 93 27
group 53 31 48 824 387
hope 20 11 31 34 20
ltd 44 2 16 426 372
largest 33 12 12 86 34
31 13 23 24 89 834
ibj 3 0 0 0 0
cumul 2 8 1 14 12
debt 32 2 80 98 145
yen 8 1 435 16 70
septemb 15 34 38 30 31
exceed 12 8 10 16 38
sharehold 4 2 2 525 244
equiti 9 4 8 90 65
decemb 64 25 24 56 122
ask 48 49 78 78 32
shelv 1 0 0 0 1
repay 13 4 8 17 10
124 1 4 0 0 0
outstand 2 2 9 289 84
loan 43 56 33 139 217
153 1 1 6 0 0
subsidiari 24 2 2 311 119
then 19 22 33 33 9
steep 4 0 8 0 2
recess 9 1 10 4 2
hit 33 13 22 4 25
hard 8 19 18 7 10
japanes 25 19 174 115 20
daili 31 35 27 15 8
asahi 1 0 0 1 0
shimbun 1 0 0 0 0
three 69 69 74 145 324
abandon 1 2 4 4 6
16 13 14 17 36 162
seven 12 35 18 40 191
write 1 2 0 4 17
long 19 29 45 46 43
comment 12 34 91 143 28
articl 1 2 2 7 3
yet 18 13 17 32 13
settl 8 1 2 8 2
venezuela 67 4 0 0 2
annouc 1 0 0 1 0
partner 12 0 20 141 26
coal 13 0 3 30 17
de 24 9 15 37 28
within 28 17 55 37 25
name 13 3 5 99 125
consortium 7 0 1 18 4
chosen 1 0 1 3 0
exploit 5 0 0 1 3
deposit 5 0 56 26 33
guasar 1 0 0 0 0
western 20 21 23 87 23
zulia 1 0 0 0 0
pdvsa 16 0 0 0 0
presid 93 26 49 138 84
juan 3 0 0 2 3
chacin 2 0 0 0 0
guzman 1 0 0 0 0
capit 19 6 67 189 184
technic 8 3 17 10 8
expertis 1 0 0 6 0
carbozulia 2 0 0 0 0
project 53 17 5 37 69
among 22 13 58 41 11
those 28 36 43 58 35
who 29 52 44 117 25
bid 21 54 32 377 17
between 52 127 105 122 56
agip 4 0 0 0 0
carbon 1 0 0 1 2
itali 2 20 24 26 4
ent 2 0 0 0 2
nazional 2 0 0 1 1
idrocarburi 2 0 0 0 0
eni 1 0 0 0 0
atlant 5 0 0 20 18
richfield 5 0 0 5 2
arc 3 0 0 3 2
arturo 8 0 0 0 0
hernandez 21 0 0 0 0
grisanti 12 0 0 0 0
discuss 35 33 45 103 5
place 16 13 22 49 40
final 17 28 15 49 95
term 26 24 64 293 73
contract 72 60 53 32 31
pablo 1 0 0 0 0
reimpel 2 0 0 0 0
shipment 35 93 0 1 20
should 58 60 77 67 101
metric 1 1 0 0 0
mt 1 8 0 29 2
annual 39 34 19 90 163
approxim 3 5 0 28 20
8 4 3 7 6 19
bolivar 3 0 0 0 9
shearson 4 1 6 95 3
lehman 4 1 7 34 2
upgrad 6 0 2 0 3
analyst 100 58 95 259 177
sanford 4 0 0 0 5
margosh 11 0 0 0 0
brother 7 1 9 41 9
appar 8 3 12 14 1
succeed 6 0 7 10 5
hold 36 12 74 430 102
prescrib 1 0 0 0 1
quota 89 18 2 1 3
clear 6 10 34 19 8
through 50 68 50 126 70
jawbon 2 0 0 0 0
restraint 5 0 2 6 2
boost 31 14 32 37 27
rose 69 27 58 38 200
sharpli 11 11 21 6 34
optim 14 2 4 3 6
imperi 9 0 0 11 20
standard 15 5 14 56 23
srd 1 0 0 5 0
exxon 43 0 0 5 2
xon 15 0 0 3 0
chevron 15 0 0 0 0
chv 6 0 0 0 0
addit 30 48 25 129 108
basi 5 17 25 56 53
though 10 10 12 7 14
suspect 1 0 1 3 0
situat 18 29 24 18 7
77 1 0 0 1 34
come 34 21 54 27 31
test 16 5 25 11 13
level 92 78 201 24 105
again 19 14 37 22 15
thrust 2 0 1 0 0
posit 29 16 32 73 53
right 26 6 13 191 60
note 21 27 85 110 1004
belief 5 2 5 7 0
factor 10 10 54 21 36
perman 6 6 3 1 3
offshor 44 0 5 5 5
suffer 8 10 6 4 15
collaps 3 1 4 2 2
sustain 5 1 7 2 8
permament 1 1 0 0 0
alick 1 0 0 0 0
dive 2 0 0 0 0
suppli 93 62 65 35 14
sector 21 11 29 20 68
buchanan 1 0 0 0 0
snith 1 0 0 0 0
howev 30 61 47 69 71
stg 16 21 462 77 203
maintain 25 15 16 15 30
sea 61 8 3 4 11
manpow 1 1 0 0 0
job 10 2 14 7 12
lost 16 6 7 15 35
context 2 4 2 1 0
workforc 2 0 0 3 7
dip 4 0 7 2 4
low 29 32 76 19 35
juli 6 28 6 24 59
peak 10 1 16 3 6
over 87 102 96 180 127
previou 36 57 35 21 84
novemb 5 9 11 25 37
they 155 191 302 311 76
recov 12 5 7 8 16
around 57 49 233 48 53
18 80 9 13 31 131
meet 103 62 145 175 110
brent 10 0 0 0 0
intent 5 9 8 110 1
style 1 0 1 2 1
britian 1 0 0 0 0
gulf 115 61 26 12 36
newspap 17 7 9 50 6
fleet 4 0 0 49 6
flag 8 2 2 9 1
jurisdict 1 1 0 2 0
ussr 2 64 0 0 0
attempt 11 4 20 66 13
protect 28 11 9 40 5
them 26 23 39 67 16
iranian 55 0 0 1 1
missil 33 0 0 2 0
attack 49 3 7 3 1
war 22 4 7 7 0
zone 16 1 15 0 0
quot 35 16 34 32 10
york 19 3 40 121 31
registr 5 5 0 7 5
escort 23 0 0 0 0
declin 74 34 107 94 120
offer 39 175 65 1181 83
too 8 26 28 21 7
public 13 17 29 98 99
admiss 1 0 0 2 0
look 20 25 40 36 33
european 15 58 89 58 13
registri 1 0 0 0 0
transport 20 20 1 70 26
both 43 24 37 110 131
unwil 2 0 2 0 1
give 15 21 38 112 46
union 30 123 25 91 27
role 10 3 17 13 4
region 28 20 11 34 17
iraq 42 9 1 0 2
iran 63 4 0 2 0
increasingli 3 2 8 2 2
target 21 41 111 28 29
negoti 24 21 18 111 17
method 4 1 4 2 20
orbit 4 0 0 0 0
19 6 7 8 23 119
1985 58 57 55 44 608
apprais 2 0 0 6 1
natur 80 4 9 35 23
liquid 20 3 97 22 41
cubic 60 0 0 4 3
feet 43 1 0 7 3
75 5 9 4 21 32
sienna 1 0 0 0 0
bcf 3 0 0 1 2
hamilton 2 0 0 0 0
haml 1 0 0 0 0
211 1 0 0 0 1
supertank 13 0 0 0 0
uae 10 0 8 0 0
arabian 17 0 2 0 1
arab 32 0 34 1 2
emir 16 0 6 0 0
night 22 10 5 20 5
abl 11 10 9 23 16
proceed 5 9 1 32 10
lloyd 5 1 2 3 13
intellig 2 1 0 3 10
sail 7 1 0 0 0
tuesday 9 6 15 9 3
load 8 43 1 2 8
ra 3 0 0 0 1
tannurah 1 0 0 0 0
occur 7 6 19 9 9
2200 1 0 0 0 0
hr 1 4 0 1 0
local 7 10 32 18 17
1800 1 0 0 0 0
gmt 6 4 15 11 5
ct 63 20 3 64 5664
unoc 17 0 0 0 0
regul 8 5 20 21 12
break 9 8 8 4 11
railroad 2 2 0 31 3
commission 2 2 0 2 0
nugent 7 0 0 0 0
ail 2 0 0 3 0
oilpatch 3 0 0 0 1
wait 9 14 8 15 2
congress 15 27 20 7 3
act 10 10 19 52 23
lawmak 2 8 0 0 1
find 18 11 17 22 6
exempt 6 11 1 2 1
stripper 6 0 0 0 0
speech 11 3 11 6 6
repres 24 35 23 80 40
must 22 42 41 28 7
initi 15 35 20 31 96
mold 1 0 0 2 1
troubl 8 3 4 8 6
revit 1 0 0 0 0
each 17 19 18 201 58
fall 55 66 148 8 93
categori 2 2 10 1 2
swing 5 1 6 0 1
crucial 8 3 6 0 0
determin 22 20 22 30 17
remain 46 35 80 105 79
wildcat 3 0 0 0 0
five 61 54 80 143 322
financi 18 13 81 268 208
secondari 7 1 0 4 1
tertiari 2 0 4 0 0
expens 4 5 7 38 103
water 29 18 0 11 6
ground 7 7 9 19 5
exist 20 13 10 41 31
until 36 27 31 77 24
25 32 31 24 74 200
sit 3 0 2 5 0
coher 1 0 0 2 0
follow 41 49 33 77 37
i 42 42 88 92 33
enough 7 15 30 14 9
word 4 1 5 3 4
tell 3 8 9 17 2
washington 14 13 45 22 8
either 3 4 13 35 3
margin 5 8 11 5 44
stimul 7 3 38 0 1
papandr 16 0 0 0 0
show 38 48 70 18 84
crisi 16 2 11 0 3
greek 33 1 0 0 0
prime 12 3 23 20 5
andrea 5 0 0 0 0
express 4 5 5 118 12
turkey 36 6 2 0 0
disput 23 7 5 19 11
aegean 39 0 0 0 0
speak 9 7 14 4 6
brief 7 0 4 6 4
opposit 10 5 12 12 1
polit 13 7 31 16 7
leader 17 20 8 8 2
row 8 5 2 51 3
turkish 30 0 8 0 0
warship 22 0 0 0 0
combat 5 2 2 1 0
aircraft 6 0 0 18 17
spoke 4 0 4 1 1
premier 1 0 2 4 2
turgut 3 0 0 0 0
ozal 3 0 0 0 0
enter 10 7 22 66 9
previous 13 13 7 145 99
annnounc 1 0 0 0 0
unless 8 7 13 34 4
answer 3 3 8 4 3
greec 41 13 0 0 0
suspend 24 3 19 6 20
militari 18 0 3 9 6
base 36 32 61 123 66
here 34 19 57 8 10
constantin 2 0 0 0 0
mitsotaki 2 0 0 0 0
thought 5 8 16 6 1
temporari 3 4 42 13 7
resolv 7 3 9 14 6
defenc 14 1 1 11 4
function 2 2 2 3 2
communist 1 3 0 0 0
parti 8 5 19 48 4
harilao 1 0 0 0 0
floraki 1 0 0 0 0
climat 3 2 3 1 3
calmer 1 0 0 0 0
armi 5 4 0 1 0
navi 12 0 0 1 1
air 9 29 3 104 25
move 42 29 84 81 32
island 16 5 6 22 7
land 12 49 4 17 31
border 2 3 1 0 3
evro 1 0 0 0 0
river 11 16 0 18 4
there 89 103 155 121 59
movement 9 7 29 2 8
apart 2 0 3 4 6
nato 10 0 0 0 0
exercis 4 0 2 56 18
mihali 1 0 0 0 0
douna 1 0 0 0 0
letter 8 15 3 151 5
legal 2 9 4 34 15
court 21 18 4 111 12
hagu 3 2 0 0 0
violat 7 3 0 28 7
output 128 58 3 4 7
sheikh 18 0 0 0 0
ali 13 0 0 0 0
alloc 7 2 18 4 5
except 5 4 4 10 19
some 102 109 167 149 86
return 23 13 25 22 80
allot 1 0 1 0 0
amount 23 41 64 94 84
publicli 2 0 0 15 1
earli 43 37 96 37 62
stop 12 10 19 11 5
reject 7 24 7 112 3
problem 27 29 51 17 42
agre 48 24 109 352 28
overal 15 13 7 9 29
abid 6 0 1 3 0
fix 26 10 53 9 17
spotlight 1 2 3 1 0
reshap 1 0 0 2 1
economi 43 6 138 8 24
coupl 7 3 6 3 3
realism 1 1 0 0 0
usher 1 0 0 0 0
grow 18 30 37 25 25
banker 15 0 84 31 18
diplomat 10 3 6 3 3
ahead 10 10 25 7 11
prove 24 5 9 7 3
critic 8 6 6 9 2
balanc 17 16 55 34 61
foster 3 0 36 0 0
recoveri 17 5 7 3 30
bigger 3 1 3 2 1
privat 25 45 34 88 30
economist 9 5 118 1 1
earn 17 4 11 95 815
20 46 54 23 154 299
nomin 2 0 5 11 22
gross 12 1 13 3 28
1982 5 8 3 5 13
organis 11 5 8 16 5
succe 1 0 0 5 0
curtail 5 0 6 1 2
keep 24 13 37 14 4
hisham 9 0 0 0 0
nazer 33 0 0 0 0
reuter 46 51 28 82 34
run 28 8 24 17 9
king 12 0 0 7 5
fahd 10 0 0 0 0
stamp 1 0 1 0 0
person 5 5 8 29 10
author 4 40 51 56 58
believ 34 16 49 92 35
underlin 1 1 5 0 0
kingdom 15 0 3 7 8
stabl 11 1 34 1 7
incom 9 21 11 29 327
huge 12 3 12 7 2
wealthi 1 0 0 4 0
past 29 20 36 27 19
taken 12 21 26 38 23
