Word_dict.txt:
71204 70516 93829 190959 193044
export 159 442 105 10 27
acquisit 9 1 0 601 131
common 6 6 17 493 215
invest 47 15 51 385 238
board 11 58 41 420 199
gain 28 10 33 59 593
sell 44 28 69 527 51
intern 60 36 118 319 186
set 41 49 151 96 369
if 99 131 173 219 83
propos 66 95 62 398 77
pay 36 17 25 97 516
three 69 69 77 146 330
analyst 100 58 95 260 178
stake 8 0 0 631 52
secur 34 4 111 412 129
five 61 54 80 144 337
six 32 24 114 93 412
tax 127 18 54 24 450
avg 0 4 0 0 664
week 139 175 150 133 64
no 112 100 118 237 94
today 129 52 230 172 74
hold 36 12 74 428 102
cash 24 54 22 367 179
busi 14 22 44 330 231
prior 4 8 1 29 589
currenc 4 19 561 6 37
purchas 27 80 70 398 50
under 64 151 49 276 82
could 92 115 143 197 74
their 84 89 186 205 53
some 102 109 167 149 86
told 96 75 136 186 117
all 71 70 54 312 103
foreign 112 31 298 92 76
against 56 73 225 82 170
nation 87 57 228 148 85
we 118 108 132 137 108
merger 3 2 0 569 29
govern 126 125 177 137 37
div 0 0 0 0 596
meet 103 62 145 175 110
approv 17 48 14 382 134
over 87 102 96 180 127
system 23 32 170 226 139
make 44 76 67 263 137
financi 18 13 81 266 208
american 35 18 25 334 163
agre 48 24 109 352 28
grain 0 554 0 4 2
state 129 138 86 129 72
manag 21 20 54 346 109
nine 8 19 16 59 447
complet 27 15 9 433 60
major 42 83 172 145 99
ad 106 65 102 133 130
tender 2 89 47 390 7
firm 47 11 54 357 61
reserv 156 33 220 43 75
own 29 9 28 368 87
continu 69 50 81 148 172
yen 7 1 437 13 61
mark 1 8 197 65 243
gener 47 45 34 223 164
japan 18 41 357 71 21
credit 23 65 69 88 259
estim 79 153 84 57 129
bid 21 54 32 377 17
level 92 78 201 24 105
four 44 42 42 108 258
barrel 469 0 3 10 11
rais 120 25 42 149 157
made 43 73 60 211 105
there 87 96 147 107 55
loan 43 56 33 139 217
earlier 54 53 71 125 184
take 45 45 120 198 79
rise 96 45 176 18 152
announc 38 42 43 261 102
asset 6 0 21 300 158
issu 35 45 83 189 132
corn 3 458 0 22 0
term 26 24 64 293 73
becaus 89 86 95 107 102
chang 64 72 137 69 136
period 27 63 51 52 285
close 65 24 95 209 84
import 148 192 85 22 24
cost 58 76 21 50 264
into 57 53 77 205 76
time 59 67 106 150 86
money 4 4 433 18 9
capit 19 6 67 189 184
between 52 127 105 122 56
crude 429 2 0 4 23
ga 210 1 1 120 123
subsidiari 24 2 2 310 117
qtli 0 0 0 0 447
dealer 3 20 363 50 8
ani 59 74 73 176 59
cut 70 61 172 45 93
feder 29 24 123 180 84
around 57 49 233 48 53
franc 8 26 138 59 209
split 1 4 1 11 422
statement 64 22 50 192 109
central 13 13 348 35 26
servic 25 20 22 224 144
februari 115 56 109 52 100
see 44 32 60 43 252
declin 74 34 107 94 120
further 29 39 202 90 63
day 168 33 104 92 25
control 12 17 46 309 38
lower 52 69 68 32 198
world 84 84 63 109 77
now 63 57 106 128 63
spokesman 70 42 49 206 50
company' 17 1 0 181 212
valu 26 33 55 208 87
countri 113 104 143 25 24
depart 44 205 18 100 34
chairman 19 19 33 210 120
produc 142 133 15 70 40
futur 66 91 89 74 78
while 76 61 90 79 91
incom 9 21 11 29 327
compar 39 53 71 29 205
exclud 7 7 4 15 360
when 77 46 118 95 56
financ 20 9 124 173 65
sourc 69 119 107 86 10
rose 69 27 58 38 199
mth 0 0 0 0 391
januari 68 45 87 42 146
outstand 2 2 9 289 84
revenu 63 7 1 94 219
develop 86 27 54 100 115
presid 91 25 45 137 84
due 47 46 56 72 157
befor 51 22 86 91 126
receiv 15 56 13 216 71
sinc 51 63 105 87 64
payment 24 112 44 77 112
down 81 67 103 30 87
commiss 12 69 8 225 54
growth 23 16 131 28 170
fall 55 63 148 8 93
fund 9 8 146 108 94
recent 49 59 97 96 63
through 50 68 50 126 70
should 58 60 77 67 100
debt 32 2 81 99 145
japanes 25 19 175 117 20
reduc 37 73 63 61 121
higher 62 48 36 38 168
polici 42 53 208 30 19
use 55 77 54 110 55
accord 62 58 149 61 21
agricultur 7 329 1 6 6
annual 39 34 19 90 163
both 43 24 37 110 131
remain 46 35 80 105 79
did 65 35 81 106 56
energi 215 2 1 58 66
bill 9 103 208 18 4
bpd 338 0 0 1 1
addit 30 48 25 129 108
p 2 0 1 98 238
jan 3 1 3 20 312
investor 13 2 46 246 31
econom 50 37 199 32 20
base 36 32 62 140 68
program 27 220 11 41 38
onli 59 72 77 81 47
fiscal 17 20 37 23 236
opec 331 0 1 0 0
st 4 11 1 29 287
eight 20 19 33 52 206
part 32 44 30 169 54
canadian 51 62 27 116 71
west 49 24 145 68 41
talk 25 44 60 179 19
associ 25 62 21 137 82
sold 13 46 29 187 51
well 113 20 39 68 85
transact 8 7 48 245 17
provid 23 39 72 148 41
minist 140 32 122 26 1
canada 51 42 62 87 77
charg 11 3 2 37 265
account 18 16 76 35 173
figur 41 81 43 9 141
effect 61 30 62 47 115
u.k 17 35 175 54 33
each 17 19 18 201 58
hi 43 30 59 149 30
out 62 51 88 76 33
help 73 34 133 28 40
comment 12 34 91 143 28
amount 23 41 64 94 84
such 53 37 98 76 40
seven 12 35 18 40 192
need 65 59 95 52 25
improv 28 32 34 33 169
right 26 6 13 191 58
seek 12 16 17 219 29
takeov 4 0 0 266 23
next 46 62 72 52 60
plc 7 0 0 174 111
like 43 55 87 58 48
possibl 32 40 39 134 46
forecast 29 55 109 8 90
bought 7 33 78 156 17
decemb 60 28 24 56 122
union 29 119 25 90 26
yesterday 46 32 86 100 24
soviet 19 260 2 5 0
area 54 142 4 41 45
ask 48 49 78 78 32
plant 24 141 0 67 52
dure 47 66 47 39 84
petroleum 176 0 1 49 56
quarterli 0 1 3 3 275
deal 21 15 22 204 19
howev 30 61 47 69 71
previous 13 13 7 145 100
crop 0 278 0 0 0
director 12 19 18 175 53
earli 43 37 96 37 62
s 75 23 22 81 73
i 40 36 76 89 32
suppli 93 65 65 35 14
fell 72 26 62 14 97
domest 79 32 86 15 58
file 1 7 0 220 42
payabl 0 0 1 17 252
call 49 30 84 85 20
hous 46 62 94 42 24
who 29 52 44 117 25
move 42 29 84 80 32
requir 16 38 55 98 60
june 24 48 30 34 129
half 31 19 31 28 155
still 35 50 72 68 39
extraordinari 2 0 0 10 252
condit 23 25 34 154 27
off 90 19 28 74 51
pari 2 10 237 10 2
full 5 11 22 33 189
prefer 4 6 8 129 112
show 38 48 70 18 84
save 7 33 4 142 71
can 38 39 67 73 39
consid 21 38 44 134 19
public 13 17 29 98 99
averag 72 48 62 31 40
offic 9 32 9 135 67
gulf 115 62 26 13 36
feb 7 12 4 32 197
high 38 45 73 54 41
subject 4 7 11 186 43
contract 73 60 53 32 31
usair 0 0 0 248 1
resourc 37 4 3 114 90
usda 1 246 0 0 0
name 13 3 5 99 125
same 24 46 37 37 101
second 39 11 18 45 131
saudi 177 9 37 0 21
reflect 19 16 39 17 153
reuter 46 51 29 83 34
anoth 11 35 48 110 38
sever 43 36 37 86 39
distribut 6 8 1 61 164
allow 59 36 35 66 43
member 82 44 31 73 9
support 42 60 76 47 14
discontinu 1 0 0 9 229
drop 66 32 68 19 53
follow 41 49 33 77 37
demand 97 36 66 9 29
held 15 13 30 140 39
open 29 25 79 62 41
provis 3 32 7 30 164
store 0 17 0 92 127
action 21 32 62 86 34
payout 1 0 0 0 234
pacif 32 11 0 127 63
most 39 61 56 38 39
previou 36 57 35 21 84
european 15 58 89 58 13
give 15 21 38 112 46
alreadi 29 30 31 119 23
declar 8 0 4 11 208
target 21 41 112 27 29
execut 13 11 13 130 63
insur 5 3 10 107 103
trust 6 0 33 78 111
vote 3 13 3 142 67
intervent 2 49 176 1 0
might 23 34 45 102 22
believ 34 16 49 92 35
do 45 41 57 58 24
sign 32 17 31 134 11
line 30 16 25 87 65
privat 25 45 34 88 30
fourth 17 9 4 17 175
explor 145 1 3 54 18
committe 30 73 68 47 3
discuss 35 33 45 103 5
properti 23 1 0 72 124
option 30 30 39 105 16
divis 3 3 9 146 59
order 15 13 30 57 104
economi 43 6 136 8 24
holder 1 0 4 93 119
so 32 37 73 40 34
commun 9 40 20 86 61
much 42 40 59 38 36
activ 25 32 40 57 61
start 26 27 48 56 57
ago 35 61 16 26 76
limit 22 39 41 68 43
point 22 27 97 39 27
our 43 22 29 59 58
these 43 33 50 42 43
york 19 3 36 121 31
baker 7 1 122 77 2
good 22 35 47 28 77
author 4 40 51 56 58
work 41 31 30 69 37
trader 55 70 45 20 18
decis 22 47 26 73 38
rang 12 33 74 55 32
treasuri 8 4 179 12 2
accept 28 53 17 92 15
below 67 31 58 19 30
final 17 28 15 49 95
want 31 30 62 67 13
reach 19 41 34 78 31
posit 29 16 32 73 53
south 48 44 28 57 26
given 14 15 70 51 52
repres 24 34 23 80 40
cent 11 24 25 14 127
restructur 12 2 13 74 100
doe 20 17 49 81 34
those 28 36 43 58 35
output 128 58 3 4 7
larg 28 33 61 28 48
ship 80 70 2 23 23
partner 12 0 20 140 26
british 26 18 41 70 42
initi 15 35 20 31 96
turnov 0 0 3 26 168
mine 23 0 3 113 57
fed 1 1 187 7 0
until 36 27 31 77 24
third 29 17 20 35 94
french 9 72 27 74 13
adjust 9 24 39 9 113
manufactur 4 5 21 109 54
farmer 5 180 0 5 2
negoti 24 21 18 111 17
respect 11 14 28 23 115
paid 6 25 8 59 93
farm 2 172 0 9 7
rd 6 0 0 1 183
number 25 35 10 74 45
low 29 32 76 19 33
stabil 24 12 138 3 10
commod 8 127 35 12 5
news 41 19 31 52 43
corpor 18 24 15 77 52
get 28 31 19 89 18
bond 8 6 102 50 19
texa 66 14 0 57 47
form 9 14 15 101 45
go 25 29 30 72 28
food 3 49 5 65 62
nil 0 32 1 1 150
cyclop 0 0 0 184 0
liquid 20 3 97 22 41
balanc 17 16 55 34 61
back 26 25 51 52 28
deficit 16 4 146 7 9
special 5 19 21 92 45
long 19 29 45 46 43
letter 8 15 3 151 5
ec 1 131 40 7 3
budget 43 29 88 8 13
measur 43 30 79 12 17
project 53 17 5 37 69
gencorp 0 0 0 173 8
chief 10 2 22 85 61
what 33 28 61 47 11
equiti 9 4 8 92 67
custom 14 14 85 39 28
abov 44 28 75 14 19
post 80 13 4 27 55
strong 22 15 34 22 86
administr 43 75 24 22 14
largest 33 12 12 86 34
monetari 1 2 172 1 1
certain 9 10 10 103 44
concern 19 19 29 81 28
less 32 42 30 37 33
competit 21 55 22 37 39
cooper 21 28 76 33 16
pretax 0 0 0 26 148
rule 29 43 35 54 12
late 16 31 56 46 24
china 36 103 10 9 14
secretari 35 46 61 29 0
them 26 23 39 67 16
disclos 4 2 3 145 16
air 9 29 3 104 25
agenc 53 37 21 46 13
court 21 17 4 113 13
revis 29 13 84 21 21
come 34 21 54 27 31
veri 17 29 54 33 34
problem 27 29 51 17 42
combin 9 12 3 103 39
certif 0 114 17 5 30
studi 56 41 10 50 8
western 20 21 23 79 22
data 13 4 26 57 65
twa 0 0 0 165 0
return 23 13 25 22 81
england 0 1 137 16 9
nd 0 0 0 0 163
least 21 34 16 64 27
within 28 17 55 37 25
detail 19 32 13 72 25
field 100 29 3 15 14
north 43 24 1 41 51
assist 18 16 114 10 1
ministri 41 26 57 28 7
real 6 7 38 43 65
maiz 0 157 2 0 0
lead 18 16 62 36 26
whether 8 38 40 59 13
relat 16 9 16 50 67
technolog 4 3 0 89 62
expens 4 5 7 38 103
far 29 17 64 24 23
basi 5 17 25 56 53
chemic 5 1 2 90 58
put 22 38 36 38 21
ag 1 0 6 72 76
look 20 25 40 36 33
substanti 5 14 27 51 57
repurchas 0 0 116 19 19
caus 27 44 32 20 30
reject 7 24 7 112 3
extend 13 21 11 96 12
commerci 13 13 45 49 33
class 1 1 0 70 80
affect 15 43 32 8 52
later 19 29 18 62 22
avail 26 37 7 47 33
septemb 15 38 36 30 31
way 36 29 38 38 8
shipment 35 93 0 1 20
natur 80 4 9 34 22
banker 15 0 84 31 19
date 13 17 9 58 52
specul 5 21 41 78 4
decid 26 34 11 59 18
think 22 20 44 51 11
germani 3 8 110 17 10
comput 1 1 1 88 57
sector 21 11 29 20 66
southern 16 24 0 80 27
present 27 20 34 37 29
inform 15 8 9 94 21
express 4 5 5 120 12
dec 2 2 0 7 135
soybean 3 143 0 0 0
respons 17 18 26 70 14
among 22 13 58 41 11
year' 23 43 5 6 68
becom 24 12 27 69 13
benefit 25 18 13 28 60
airlin 1 0 1 110 31
begin 26 29 31 29 28
dixon 0 0 0 140 3
acr 9 121 0 11 1
boost 31 14 32 37 27
ventur 13 0 3 94 30
place 16 13 22 49 40
must 22 42 41 28 7
intend 13 14 15 74 24
mani 26 36 43 19 16
worth 3 19 28 79 11
power 8 5 6 48 71
cover 15 60 12 20 30
senior 13 14 49 49 12
institut 19 1 39 51 27
transport 20 20 1 69 26
interven 3 0 130 3 0
undisclos 1 0 0 130 5
review 22 10 21 70 12
grow 18 30 37 25 25
german 3 10 76 27 19
refineri 129 0 0 2 3
termin 18 11 0 85 20
better 17 15 25 25 52
economist 9 5 118 1 1
pact 19 21 57 35 2
although 27 19 27 20 41
confer 39 8 23 23 40
intent 5 9 8 110 1
even 20 23 42 29 19
indic 18 26 41 33 15
season 11 91 8 6 17
convert 3 0 5 93 32
dilut 0 0 0 33 100
damag 47 44 18 19 4
commit 23 30 23 48 8
bank' 3 0 66 14 49
main 34 25 41 19 12
factor 10 10 54 21 36
juli 6 36 6 24 59
past 29 20 36 27 19
sterl 3 1 102 10 15
taft 0 0 0 129 2
aid 17 74 16 12 11
forc 41 12 27 26 24
affili 4 2 0 101 23
brazil 39 18 7 16 49
joint 9 12 17 66 24
recommend 21 7 10 42 48
equip 8 0 4 88 28
drill 106 0 0 12 9
quot 35 16 34 32 10
here 34 19 57 7 10
life 2 4 9 75 37
involv 6 14 18 65 23
pre-tax 0 1 0 13 112
depend 36 15 20 28 26
pressur 20 11 63 13 18
merg 1 4 0 113 7
releas 15 37 15 27 30
surplu 10 20 67 3 24
facil 16 12 27 43 26
guilder 0 4 66 5 49
partnership 12 2 0 82 27
citi 2 16 6 64 35
bundesbank 0 0 123 0 0
ecuador 119 2 0 0 1
friday 22 8 34 49 9
where 25 26 23 37 10
advanc 2 23 41 35 20
deposit 5 0 56 26 33
taken 12 21 26 38 23
morn 5 10 74 21 10
law 9 13 6 70 22
perform 4 4 24 14 74
purol 0 0 0 120 0
expand 6 25 14 46 28
effort 13 13 24 49 20
reduct 18 27 12 7 55
expir 2 9 11 91 6
parent 1 0 0 28 90
small 19 14 31 30 24
just 17 17 31 32 21
home 5 26 3 48 36
seen 28 27 35 11 16
prospect 26 23 25 17 26
consolid 2 1 6 45 63
winter 5 107 1 1 3
hope 20 11 31 34 20
then 19 22 33 33 9
daili 31 35 27 15 8
request 15 31 10 58 2
regular 1 3 9 3 100
bring 29 12 40 22 12
exist 20 13 10 41 31
fix 26 10 53 9 17
america 7 4 0 64 40
schedul 18 19 8 54 16
particip 6 24 15 48 21
without 12 15 18 39 30
attempt 11 4 20 66 13
act 10 10 19 52 23
enter 10 7 22 66 9
definit 2 13 6 87 6
applic 6 10 3 84 11
estat 2 1 3 49 59
impact 10 22 22 15 44
de 24 9 15 37 28
quota 89 18 2 1 3
despit 17 13 27 13 42
shortag 7 8 94 1 2
flow 20 5 25 18 44
b 2 0 0 52 58
buyout 0 0 0 109 3
standard 15 5 14 54 23
determin 22 20 22 30 17
land 12 49 4 17 29
how 16 29 24 22 20
altern 2 12 5 86 6
gold 2 1 22 51 35
unchang 14 21 34 6 35
near 35 15 28 14 18
sharp 19 13 36 14 28
discount 25 3 54 9 19
block 31 2 5 60 12
cabl 0 0 5 87 18
reason 10 17 32 31 19
process 9 14 11 57 18
warrant 1 1 9 77 21
band 0 1 107 1 0
led 9 8 15 70 6
sugar 10 60 0 35 3
harvest 2 103 1 2 0
again 19 14 37 22 15
region 27 18 11 34 17
signific 14 16 14 21 42
bonu 1 69 0 1 36
barley 0 107 0 0 0
probabl 22 29 16 23 16
spend 34 10 18 9 35
research 32 4 8 34 28
consum 19 20 16 27 24
deliveri 8 60 7 21 10
crown 6 0 4 27 69
arrang 5 5 27 57 12
yield 6 43 40 3 14
chrysler 0 0 0 94 12
piedmont 0 0 0 104 2
arabia 78 9 18 0 0
shearson 4 1 6 91 3
commerc 5 9 16 49 26
offset 14 10 33 5 42
risk 4 6 46 22 26
volum 13 27 15 8 41
rice 0 101 3 0 0
pipelin 85 0 0 9 9
reagan 42 36 16 8 0
engin 4 1 4 40 53
maintain 25 15 16 15 30
case 11 35 9 33 13
tri 10 14 25 42 10
australian 15 29 18 17 22
regulatori 2 3 4 68 24
peopl 15 14 18 41 12
subsidi 4 85 9 1 1
refin 72 7 0 9 12
london 13 11 38 25 13
jame 7 1 43 32 16
press 21 7 19 38 14
direct 10 9 28 24 28
washington 14 13 41 22 9
hugh 9 0 0 87 3
bushel 1 98 0 0 0
electron 0 0 3 53 43
caesar 0 0 0 90 9
immedi 22 9 12 44 11
latest 16 19 28 11 24
mean 14 17 39 16 12
necessari 13 6 41 23 15
east 41 14 6 16 20
hit 33 13 22 4 25
heavi 27 33 12 12 13
c 2 16 2 57 20
dutch 9 10 35 21 22
soon 14 13 28 31 11
writedown 0 0 0 0 97
steel 9 0 4 36 47
situat 18 29 24 18 7
face 21 14 22 12 27
littl 9 14 41 16 16
paper 4 14 37 27 14
gave 18 17 17 29 14
buyer 22 17 6 47 3
add 6 4 56 16 13
tokyo 2 3 76 6 8
principl 2 0 4 79 10
motor 0 0 4 53 38
restat 0 0 1 4 90
step 10 11 34 34 5
weather 7 79 3 0 5
contribut 6 5 12 20 51
telephon 4 1 8 46 35
hutton 1 2 0 91 0
aim 9 12 27 26 19
yet 18 13 17 32 13
protect 28 11 9 40 5
success 11 7 32 20 23
progress 1 7 6 53 26
retail 2 0 3 46 41
fuel 55 3 1 5 28
keep 24 13 37 14 4
vice 13 8 10 40 21
delay 7 18 14 24 29
northern 22 29 0 26 15
build 20 8 7 33 24
began 13 13 21 31 13
origin 5 20 8 44 14
light 36 10 11 13 21
consider 15 15 13 35 13
britain 9 10 60 7 5
two-for 0 0 0 2 89
restrict 15 10 27 33 5
too 8 26 28 21 7
it' 8 17 19 39 7
settlement 2 3 9 27 49
taiwan 0 32 55 2 1
guarante 19 44 5 16 5
newspap 17 7 9 50 6
continent 14 9 2 23 41
electr 4 2 2 35 46
australia 5 26 0 41 17
materi 7 4 0 53 25
enterpris 4 1 5 42 36
appear 18 16 31 13 10
key 5 10 35 21 17
europ 18 9 30 11 20
medic 0 0 1 54 33
head 17 12 17 26 15
potenti 13 9 16 37 12
don't 8 20 28 23 8
fulli 5 2 10 52 18
oversea 10 5 20 28 23
creat 9 10 19 34 14
year-ago 15 5 1 1 64
bbl 86 0 0 0 0
run 28 8 24 17 9
august 9 19 3 13 42
us 13 7 3 35 28
broadcast 2 1 1 71 11
grant 3 25 3 44 11
chemlawn 0 0 0 86 0
sea 59 8 3 4 11
novemb 5 9 11 25 35
lend 21 2 33 11 18
california 21 1 0 44 19
royal 9 3 1 18 54
publish 11 2 6 50 16
capac 44 4 1 13 22
question 9 11 33 22 9
exceed 12 8 10 16 38
local 7 10 32 18 17
parti 8 5 19 48 4
specif 8 8 23 15 30
slightli 18 11 17 6 32
plu 4 4 12 47 17
hotel 1 0 3 61 19
packag 11 13 26 26 7
sharpli 11 11 21 6 34
corp' 9 0 0 64 10
prepar 14 9 19 25 16
santa 3 13 0 63 4
view 6 7 26 30 14
former 1 2 15 53 12
carri 21 7 11 19 24
independ 10 2 7 53 10
greater 8 13 31 14 16
televis 11 0 7 48 16
push 8 9 52 11 2
leas 19 1 0 28 34
item 3 3 1 9 66
employ 6 7 27 33 8
proce 1 0 1 50 29
acreag 4 74 0 2 1
eas 9 8 51 6 7
equal 3 12 6 23 37
health 5 0 3 44 29
inflat 7 4 62 1 7
rumor 3 16 5 56 1
borg-warn 0 0 0 81 0
normal 6 40 13 9 12
exercis 4 0 2 56 18
predict 13 10 17 12 28
enhanc 7 48 3 12 10
suggest 8 10 36 22 4
outlook 19 11 21 2 27
retain 4 2 5 53 16
three-for 0 0 0 1 79
urg 16 29 13 21 0
g 1 0 65 8 5
lost 16 6 7 15 35
advis 7 5 4 62 1
council 13 27 32 6 1
excess 6 12 25 22 14
feed 0 72 0 5 2
interview 26 9 23 12 8
top 15 5 19 28 11
africa 26 20 5 19 8
senat 7 49 14 8 0
free 16 30 5 11 16
emerg 25 18 9 20 6
expans 5 7 9 26 31
wast 1 2 0 60 15
telecommun 1 0 3 52 22
miyazawa 0 0 78 0 0
port 40 30 0 5 2
clear 6 10 34 19 8
ussr 2 75 0 0 0
borrow 6 2 32 14 23
care 4 5 13 42 13
inventori 18 12 6 8 33
william 6 1 2 50 18
rain 2 75 0 0 0
allegheni 0 0 0 76 1
conserv 6 46 9 4 11
few 15 12 20 17 12
octob 10 16 6 14 30
oppos 12 22 3 37 2
liabil 6 0 6 35 29
toward 16 11 27 15 6
robert 6 15 15 28 11
enough 7 15 30 14 9
anticip 6 11 6 12 40
book 1 9 6 22 37
chicago 3 17 10 34 11
sumita 0 0 75 0 0
suit 0 0 4 50 21
short 11 11 24 17 11
find 18 11 17 22 6
polit 13 7 31 16 7
establish 2 10 26 25 11
counti 4 27 0 36 7
partli 6 4 34 9 21
maker 0 2 1 59 12
courier 0 0 0 72 2
design 4 7 14 42 6
bp 21 0 0 48 4
transfer 8 2 4 43 16
japan' 3 8 29 27 6
margin 5 8 11 5 44
overal 15 13 7 9 29
pend 7 4 1 48 13
you 2 15 25 21 10
minor 1 2 1 24 45
minimum 4 15 20 30 4
great 1 9 7 27 29
ab 3 0 0 49 21
purpos 1 4 6 53 9
car 0 4 1 31 37
video 0 0 0 59 14
mainli 8 4 9 8 43
john 22 7 2 22 19
congress 15 27 20 7 3
suspend 24 3 19 6 20
took 5 12 22 23 10
encourag 15 16 21 5 15
amend 3 22 0 37 10
util 9 2 0 12 49
group' 7 2 0 40 23
contain 5 11 5 31 20
stockhold 1 0 0 39 32
correct 2 2 12 22 34
hong 0 4 4 29 35
swiss 0 0 25 16 31
supermarket 0 0 0 64 8
lift 30 7 10 14 10
confid 12 2 18 22 17
leav 10 12 23 19 7
best 6 6 10 32 17
ordinari 1 0 5 45 20
lyng 0 71 0 0 0
sec 0 0 0 69 2
outsid 20 9 9 21 11
test 16 5 25 11 13
san 4 3 0 54 9
appli 7 20 9 19 15
employe 5 2 1 45 17
differ 4 28 14 14 10
branch 0 2 8 41 19
kong 0 4 4 29 33
debentur 0 0 0 47 23
government' 19 10 25 12 3
arab 32 0 34 1 2
abl 11 10 9 23 16
temporari 3 4 42 13 7
revers 5 7 9 1 47
replac 17 4 15 18 15
lawson 5 0 63 0 1
dome 1 0 0 44 24
long-term 4 6 11 23 25
obtain 3 12 6 38 10
pound 4 9 44 1 11
wall 1 0 2 53 13
street 1 0 1 49 18
network 1 1 3 45 19
carryforward 0 0 0 4 65
rather 10 17 23 4 14
fee 37 0 1 23 7
fail 6 10 14 31 7
nippon 5 2 0 51 10
difficult 10 11 21 11 15
she 6 22 13 18 9
mortgag 0 0 2 22 44
bancorp 0 0 0 39 29
harper 0 0 0 63 5
longer 9 4 21 13 20
gasolin 62 1 0 2 2
kuwait 57 0 9 1 0
unlik 6 12 30 11 8
brother 7 1 9 41 9
cubic 60 0 0 4 3
row 8 5 2 49 3
construct 13 2 4 22 26
strike 35 15 5 4 8
nearli 9 14 14 13 17
weekli 15 24 22 5 1
weak 15 2 20 2 28
sosnoff 0 0 0 65 2
appropri 6 9 30 17 4
regul 8 5 20 21 12
unless 8 7 13 34 4
achiev 6 5 20 9 26
almost 4 15 20 9 18
mill 4 14 6 28 14
session 10 4 47 1 4
eep 0 66 0 0 0
consumpt 35 18 11 0 1
mar 10 12 4 6 33
disput 23 7 5 19 11
turn 7 9 12 12 25
shell 41 0 0 3 21
consist 5 7 16 27 10
primari 7 2 6 5 45
tomorrow 8 10 27 13 7
grower 0 61 0 4 0
station 8 0 0 46 10
water 29 18 0 11 6
prime 12 3 23 21 5
legal 2 9 4 34 15
slow 8 18 25 4 9
worldwid 16 1 7 26 14
trend 10 12 21 9 12
today' 9 14 29 7 5
cite 9 13 7 14 21
boston 1 0 0 48 15
iv 0 6 0 58 0
defend 23 3 14 12 11
staff 5 8 8 22 20
venezuela 57 4 0 0 2
attack 49 3 7 3 1
ahead 10 10 25 7 11
organ 18 16 2 17 10
similar 12 11 13 9 18
approach 10 11 19 17 6
hand 3 4 33 12 11
monday 6 7 23 22 5
prevent 7 11 23 19 2
hard 8 19 18 7 10
coal 13 0 3 29 17
